Ruta,Numero_Pasajeros,Duracion_Viaje_Minutos,Retraso_Minutos,Tipo_Transporte,Region,Dia_Semana,Mes,Día,Hora,Minuto
Madrid - Malaga,78,608.0,21,2,Malaga,6,1,1,0,6
Valencia - Sevilla,67,345.0,2,2,Sevilla,6,1,1,0,10
Zaragoza - Barcelona,27,356.0,24,2,Zaragoza,6,1,1,0,18
Malaga - Sevilla,90,362.0,37,2,Sevilla,6,1,1,0,33
Bilbao - Madrid,34,264.0,24,2,Madrid,6,1,1,0,35
Madrid - Zaragoza,81,353.0,33,1,Madrid,6,1,1,0,40
Bilbao - Madrid,77,630.0,108,1,Bilbao,6,1,1,0,41
Madrid - Malaga,46,321.0,92,2,Madrid,6,1,1,0,48
Madrid - Malaga,86,143.0,3,2,Malaga,6,1,1,0,51
Bilbao - Madrid,51,383.0,74,2,Madrid,6,1,1,0,54
Madrid - Barcelona,49,188.0,116,1,Madrid,6,1,1,1,15
Madrid - Barcelona,89,266.0,32,2,Barcelona,6,1,1,1,19
Barcelona - Valencia,93,456.0,45,1,Valencia,6,1,1,1,25
Madrid - Malaga,65,128.0,48,1,Madrid,6,1,1,1,33
Madrid - Barcelona,42,135.0,46,1,Barcelona,6,1,1,1,39
Malaga - Sevilla,56,367.0,85,2,Sevilla,6,1,1,1,52
Zaragoza - Barcelona,99,595.0,27,2,Zaragoza,6,1,1,1,56
Madrid - Malaga,85,229.0,65,2,Malaga,6,1,1,2,1
Zaragoza - Barcelona,73,236.0,76,2,Zaragoza,6,1,1,2,4
Madrid - Zaragoza,30,252.0,80,2,Madrid,6,1,1,2,13
Bilbao - Madrid,57,228.0,64,1,Bilbao,6,1,1,2,14
Sevilla - Madrid,15,299.0,50,2,Sevilla,6,1,1,2,18
Madrid - Barcelona,65,190.0,64,2,Barcelona,6,1,1,2,21
Madrid - Barcelona,75,638.0,47,1,Madrid,6,1,1,2,28
Barcelona - Valencia,50,662.0,15,1,Valencia,6,1,1,2,33
Madrid - Malaga,88,561.0,104,1,Madrid,6,1,1,2,52
Malaga - Sevilla,48,468.0,11,2,Malaga,6,1,1,2,54
Madrid - Zaragoza,57,514.0,90,2,Madrid,6,1,1,3,0
Sevilla - Madrid,91,319.0,98,2,Sevilla,6,1,1,3,2
Zaragoza - Barcelona,81,397.0,50,1,Barcelona,6,1,1,3,7
Barcelona - Bilbao,14,318.0,30,2,Barcelona,6,1,1,3,14
Madrid - Barcelona,12,667.0,44,1,Barcelona,6,1,1,3,17
Bilbao - Madrid,71,704.0,62,1,Bilbao,6,1,1,3,19
Valencia - Sevilla,40,308.0,36,1,Sevilla,6,1,1,3,45
Barcelona - Bilbao,41,571.0,70,1,Barcelona,6,1,1,4,10
Madrid - Malaga,73,493.0,79,2,Madrid,6,1,1,4,12
Valencia - Sevilla,45,132.0,53,2,Valencia,6,1,1,4,15
Madrid - Barcelona,47,606.0,87,2,Madrid,6,1,1,4,22
Malaga - Sevilla,64,498.0,72,1,Malaga,6,1,1,4,23
Malaga - Sevilla,21,354.0,95,1,Malaga,6,1,1,4,36
Madrid - Zaragoza,73,696.0,55,2,Madrid,6,1,1,4,47
Barcelona - Valencia,20,534.0,33,1,Valencia,6,1,1,4,57
Zaragoza - Barcelona,15,406.0,68,1,Zaragoza,6,1,1,5,4
Madrid - Malaga,88,226.0,15,2,Malaga,6,1,1,5,37
Madrid - Zaragoza,72,658.0,44,2,Madrid,6,1,1,5,47
Barcelona - Valencia,38,212.0,3,2,Barcelona,6,1,1,5,56
Bilbao - Madrid,40,687.0,97,2,Madrid,6,1,1,6,22
Madrid - Barcelona,14,301.0,111,2,Barcelona,6,1,1,6,35
Malaga - Sevilla,95,136.0,46,2,Sevilla,6,1,1,6,44
Zaragoza - Barcelona,40,251.0,75,2,Barcelona,6,1,1,6,58
Madrid - Barcelona,38,152.0,23,2,Barcelona,6,1,1,7,9
Valencia - Sevilla,66,465.0,16,2,Sevilla,6,1,1,7,14
Madrid - Barcelona,51,431.0,37,2,Madrid,6,1,1,7,18
Bilbao - Madrid,67,367.0,69,1,Madrid,6,1,1,7,30
Madrid - Malaga,54,334.0,96,2,Malaga,6,1,1,7,43
