ID_Viaje,Fecha,Ruta,Numero_Pasajeros,Duracion_Viaje_Minutos,Retraso_Minutos,Tipo_Transporte,Region,Dia_Semana
3,2023-01-01 00:02:00,Madrid - Zaragoza,10,94.0,119,Autobús,Madrid,Sunday
7,2023-01-01 00:06:00,Madrid - Malaga,78,608.0,21,Autobús,Malaga,Sunday
11,2023-01-01 00:10:00,Valencia - Sevilla,67,345.0,2,Autobús,Sevilla,Sunday
19,2023-01-01 00:18:00,Zaragoza - Barcelona,27,356.0,24,Autobús,Zaragoza,Sunday
34,2023-01-01 00:33:00,Malaga - Sevilla,90,362.0,37,Autobús,Sevilla,Sunday
36,2023-01-01 00:35:00,Bilbao - Madrid,34,264.0,24,Autobús,Madrid,Sunday
41,2023-01-01 00:40:00,Madrid - Zaragoza,81,353.0,33,Tren,Madrid,Sunday
42,2023-01-01 00:41:00,Bilbao - Madrid,77,630.0,108,Tren,Bilbao,Sunday
49,2023-01-01 00:48:00,Madrid - Malaga,46,321.0,92,Autobús,Madrid,Sunday
52,2023-01-01 00:51:00,Madrid - Malaga,86,143.0,3,Autobús,Malaga,Sunday
55,2023-01-01 00:54:00,Bilbao - Madrid,51,383.0,74,Autobús,Madrid,Sunday
59,2023-01-01 00:58:00,Madrid - Malaga,30,97.0,117,Autobús,Madrid,Sunday
63,2023-01-01 01:02:00,Bilbao - Madrid,99,78.0,87,Tren,Bilbao,Sunday
76,2023-01-01 01:15:00,Madrid - Barcelona,49,188.0,116,Tren,Madrid,Sunday
80,2023-01-01 01:19:00,Madrid - Barcelona,89,266.0,32,Autobús,Barcelona,Sunday
86,2023-01-01 01:25:00,Barcelona - Valencia,93,456.0,45,Tren,Valencia,Sunday
94,2023-01-01 01:33:00,Madrid - Malaga,65,128.0,48,Tren,Madrid,Sunday
100,2023-01-01 01:39:00,Madrid - Barcelona,42,135.0,46,Tren,Barcelona,Sunday
113,2023-01-01 01:52:00,Malaga - Sevilla,56,367.0,85,Autobús,Sevilla,Sunday
114,2023-01-01 01:53:00,Madrid - Zaragoza,30,82.0,117,Autobús,Madrid,Sunday
117,2023-01-01 01:56:00,Zaragoza - Barcelona,99,595.0,27,Autobús,Zaragoza,Sunday
122,2023-01-01 02:01:00,Madrid - Malaga,85,229.0,65,Autobús,Malaga,Sunday
125,2023-01-01 02:04:00,Zaragoza - Barcelona,73,236.0,76,Autobús,Zaragoza,Sunday
134,2023-01-01 02:13:00,Madrid - Zaragoza,30,252.0,80,Autobús,Madrid,Sunday
135,2023-01-01 02:14:00,Bilbao - Madrid,57,228.0,64,Tren,Bilbao,Sunday
139,2023-01-01 02:18:00,Sevilla - Madrid,15,299.0,50,Autobús,Sevilla,Sunday
142,2023-01-01 02:21:00,Madrid - Barcelona,65,190.0,64,Autobús,Barcelona,Sunday
149,2023-01-01 02:28:00,Madrid - Barcelona,75,638.0,47,Tren,Madrid,Sunday
154,2023-01-01 02:33:00,Barcelona - Valencia,50,662.0,15,Tren,Valencia,Sunday
173,2023-01-01 02:52:00,Madrid - Malaga,88,561.0,104,Tren,Madrid,Sunday
175,2023-01-01 02:54:00,Malaga - Sevilla,48,468.0,11,Autobús,Malaga,Sunday
179,2023-01-01 02:58:00,Sevilla - Madrid,17,29.0,32,Autobús,Sevilla,Sunday
181,2023-01-01 03:00:00,Madrid - Zaragoza,57,514.0,90,Autobús,Madrid,Sunday
183,2023-01-01 03:02:00,Sevilla - Madrid,91,319.0,98,Autobús,Sevilla,Sunday
188,2023-01-01 03:07:00,Zaragoza - Barcelona,81,397.0,50,Tren,Barcelona,Sunday
195,2023-01-01 03:14:00,Barcelona - Bilbao,14,318.0,30,Autobús,Barcelona,Sunday
198,2023-01-01 03:17:00,Madrid - Barcelona,12,667.0,44,Tren,Barcelona,Sunday
200,2023-01-01 03:19:00,Bilbao - Madrid,71,704.0,62,Tren,Bilbao,Sunday
218,2023-01-01 03:37:00,Malaga - Sevilla,19,72.0,39,Tren,Malaga,Sunday
226,2023-01-01 03:45:00,Valencia - Sevilla,40,308.0,36,Tren,Sevilla,Sunday
251,2023-01-01 04:10:00,Barcelona - Bilbao,41,571.0,70,Tren,Barcelona,Sunday
253,2023-01-01 04:12:00,Madrid - Malaga,73,493.0,79,Autobús,Madrid,Sunday
256,2023-01-01 04:15:00,Valencia - Sevilla,45,132.0,53,Autobús,Valencia,Sunday
263,2023-01-01 04:22:00,Madrid - Barcelona,47,606.0,87,Autobús,Madrid,Sunday
264,2023-01-01 04:23:00,Malaga - Sevilla,64,498.0,72,Tren,Malaga,Sunday
277,2023-01-01 04:36:00,Malaga - Sevilla,21,354.0,95,Tren,Malaga,Sunday
280,2023-01-01 04:39:00,Barcelona - Bilbao,63,31.0,93,Tren,Barcelona,Sunday
288,2023-01-01 04:47:00,Madrid - Zaragoza,73,696.0,55,Autobús,Madrid,Sunday
298,2023-01-01 04:57:00,Barcelona - Valencia,20,534.0,33,Tren,Valencia,Sunday
305,2023-01-01 05:04:00,Zaragoza - Barcelona,15,406.0,68,Tren,Zaragoza,Sunday
310,2023-01-01 05:09:00,Madrid - Zaragoza,11,52.0,14,Tren,Zaragoza,Sunday
338,2023-01-01 05:37:00,Madrid - Malaga,88,226.0,15,Autobús,Malaga,Sunday
348,2023-01-01 05:47:00,Madrid - Zaragoza,72,658.0,44,Autobús,Madrid,Sunday
357,2023-01-01 05:56:00,Barcelona - Valencia,38,212.0,3,Autobús,Barcelona,Sunday
379,2023-01-01 06:18:00,Madrid - Zaragoza,24,20.0,101,Tren,Zaragoza,Sunday
383,2023-01-01 06:22:00,Bilbao - Madrid,40,687.0,97,Autobús,Madrid,Sunday
384,2023-01-01 06:23:00,Zaragoza - Barcelona,74,26.0,114,Autobús,Barcelona,Sunday
396,2023-01-01 06:35:00,Madrid - Barcelona,14,301.0,111,Autobús,Barcelona,Sunday
405,2023-01-01 06:44:00,Malaga - Sevilla,95,136.0,46,Autobús,Sevilla,Sunday
419,2023-01-01 06:58:00,Zaragoza - Barcelona,40,251.0,75,Autobús,Barcelona,Sunday
430,2023-01-01 07:09:00,Madrid - Barcelona,38,152.0,23,Autobús,Barcelona,Sunday
435,2023-01-01 07:14:00,Valencia - Sevilla,66,465.0,16,Autobús,Sevilla,Sunday
439,2023-01-01 07:18:00,Madrid - Barcelona,51,431.0,37,Autobús,Madrid,Sunday
443,2023-01-01 07:22:00,Valencia - Sevilla,82,106.0,30,Tren,Valencia,Sunday
451,2023-01-01 07:30:00,Bilbao - Madrid,67,367.0,69,Tren,Madrid,Sunday
464,2023-01-01 07:43:00,Madrid - Malaga,54,334.0,96,Autobús,Malaga,Sunday
470,2023-01-01 07:49:00,Barcelona - Valencia,73,414.0,91,Autobús,Valencia,Sunday
476,2023-01-01 07:55:00,Madrid - Malaga,36,336.0,49,Autobús,Malaga,Sunday
480,2023-01-01 07:59:00,Bilbao - Madrid,68,689.0,75,Tren,Bilbao,Sunday
487,2023-01-01 08:06:00,Bilbao - Madrid,72,703.0,15,Autobús,Madrid,Sunday
490,2023-01-01 08:09:00,Bilbao - Madrid,26,428.0,94,Autobús,Madrid,Sunday
498,2023-01-01 08:17:00,Sevilla - Madrid,24,596.0,82,Autobús,Sevilla,Sunday
507,2023-01-01 08:26:00,Zaragoza - Barcelona,81,428.0,45,Tren,Barcelona,Sunday
509,2023-01-01 08:28:00,Sevilla - Madrid,25,144.0,89,Tren,Sevilla,Sunday
512,2023-01-01 08:31:00,Bilbao - Madrid,30,402.0,106,Autobús,Bilbao,Sunday
514,2023-01-01 08:33:00,Barcelona - Bilbao,91,29.0,60,Tren,Bilbao,Sunday
522,2023-01-01 08:41:00,Bilbao - Madrid,92,19.0,91,Tren,Madrid,Sunday
523,2023-01-01 08:42:00,Valencia - Sevilla,34,211.0,4,Autobús,Sevilla,Sunday
532,2023-01-01 08:51:00,Bilbao - Madrid,48,16.0,49,Autobús,Bilbao,Sunday
533,2023-01-01 08:52:00,Barcelona - Bilbao,49,500.0,63,Tren,Bilbao,Sunday
556,2023-01-01 09:15:00,Barcelona - Valencia,21,718.0,117,Tren,Valencia,Sunday
568,2023-01-01 09:27:00,Malaga - Sevilla,52,134.0,11,Tren,Malaga,Sunday
578,2023-01-01 09:37:00,Madrid - Zaragoza,14,603.0,89,Autobús,Zaragoza,Sunday
584,2023-01-01 09:43:00,Bilbao - Madrid,72,645.0,108,Autobús,Bilbao,Sunday
590,2023-01-01 09:49:00,Sevilla - Madrid,19,257.0,83,Autobús,Sevilla,Sunday
600,2023-01-01 09:59:00,Sevilla - Madrid,48,182.0,68,Autobús,Madrid,Sunday
606,2023-01-01 10:05:00,Sevilla - Madrid,94,75.0,36,Tren,Madrid,Sunday
611,2023-01-01 10:10:00,Sevilla - Madrid,47,315.0,84,Autobús,Sevilla,Sunday
617,2023-01-01 10:16:00,Madrid - Malaga,28,716.0,98,Tren,Malaga,Sunday
620,2023-01-01 10:19:00,Zaragoza - Barcelona,40,56.0,1,Tren,Barcelona,Sunday
621,2023-01-01 10:20:00,Zaragoza - Barcelona,43,251.0,54,Tren,Barcelona,Sunday
624,2023-01-01 10:23:00,Sevilla - Madrid,82,703.0,11,Autobús,Madrid,Sunday
636,2023-01-01 10:35:00,Barcelona - Valencia,49,131.0,46,Autobús,Valencia,Sunday
664,2023-01-01 11:03:00,Bilbao - Madrid,71,48.0,55,Autobús,Madrid,Sunday
669,2023-01-01 11:08:00,Madrid - Zaragoza,79,375.0,87,Tren,Madrid,Sunday
670,2023-01-01 11:09:00,Bilbao - Madrid,50,701.0,80,Tren,Madrid,Sunday
671,2023-01-01 11:10:00,Madrid - Malaga,76,544.0,27,Autobús,Malaga,Sunday
682,2023-01-01 11:21:00,Bilbao - Madrid,82,294.0,56,Tren,Madrid,Sunday
693,2023-01-01 11:32:00,Bilbao - Madrid,37,247.0,75,Autobús,Madrid,Sunday
696,2023-01-01 11:35:00,Malaga - Sevilla,59,113.0,76,Autobús,Sevilla,Sunday
706,2023-01-01 11:45:00,Barcelona - Bilbao,75,391.0,42,Tren,Bilbao,Sunday
713,2023-01-01 11:52:00,Bilbao - Madrid,66,74.0,80,Tren,Madrid,Sunday
716,2023-01-01 11:55:00,Barcelona - Bilbao,94,182.0,102,Autobús,Barcelona,Sunday
721,2023-01-01 12:00:00,Madrid - Barcelona,43,360.0,115,Tren,Madrid,Sunday
726,2023-01-01 12:05:00,Barcelona - Valencia,30,446.0,4,Autobús,Barcelona,Sunday
732,2023-01-01 12:11:00,Malaga - Sevilla,47,503.0,81,Tren,Sevilla,Sunday
736,2023-01-01 12:15:00,Barcelona - Valencia,15,35.0,6,Tren,Barcelona,Sunday
754,2023-01-01 12:33:00,Valencia - Sevilla,38,217.0,55,Autobús,Valencia,Sunday
762,2023-01-01 12:41:00,Zaragoza - Barcelona,45,439.0,105,Autobús,Barcelona,Sunday
770,2023-01-01 12:49:00,Madrid - Zaragoza,65,446.0,84,Autobús,Zaragoza,Sunday
784,2023-01-01 13:03:00,Madrid - Zaragoza,93,30.0,53,Autobús,Zaragoza,Sunday
791,2023-01-01 13:10:00,Barcelona - Bilbao,21,681.0,79,Tren,Bilbao,Sunday
794,2023-01-01 13:13:00,Madrid - Barcelona,96,69.0,50,Tren,Madrid,Sunday
801,2023-01-01 13:20:00,Bilbao - Madrid,54,209.0,999,Autobús,Madrid,Sunday
803,2023-01-01 13:22:00,Sevilla - Madrid,83,634.0,46,Tren,Sevilla,Sunday
805,2023-01-01 13:24:00,Madrid - Barcelona,34,190.0,47,Tren,Barcelona,Sunday
808,2023-01-01 13:27:00,Madrid - Barcelona,48,513.0,81,Autobús,Madrid,Sunday
814,2023-01-01 13:33:00,Valencia - Sevilla,79,601.0,6,Autobús,Valencia,Sunday
826,2023-01-01 13:45:00,Valencia - Sevilla,29,264.0,29,Autobús,Sevilla,Sunday
827,2023-01-01 13:46:00,Zaragoza - Barcelona,35,439.0,64,Autobús,Zaragoza,Sunday
838,2023-01-01 13:57:00,Bilbao - Madrid,81,294.0,95,Tren,Bilbao,Sunday
853,2023-01-01 14:12:00,Valencia - Sevilla,65,190.0,86,Autobús,Valencia,Sunday
857,2023-01-01 14:16:00,Madrid - Barcelona,22,110.0,82,Autobús,Barcelona,Sunday
858,2023-01-01 14:17:00,Bilbao - Madrid,39,546.0,107,Autobús,Bilbao,Sunday
863,2023-01-01 14:22:00,Sevilla - Madrid,31,139.0,57,Autobús,Sevilla,Sunday
866,2023-01-01 14:25:00,Madrid - Malaga,30,347.0,9,Tren,Madrid,Sunday
868,2023-01-01 14:27:00,Sevilla - Madrid,57,288.0,30,Autobús,Sevilla,Sunday
872,2023-01-01 14:31:00,Valencia - Sevilla,71,121.0,71,Autobús,Sevilla,Sunday
888,2023-01-01 14:47:00,Zaragoza - Barcelona,54,699.0,76,Autobús,Barcelona,Sunday
896,2023-01-01 14:55:00,Zaragoza - Barcelona,17,585.0,23,Tren,Barcelona,Sunday
902,2023-01-01 15:01:00,Valencia - Sevilla,52,402.0,49,Tren,Sevilla,Sunday
905,2023-01-01 15:04:00,Barcelona - Bilbao,78,460.0,77,Autobús,Barcelona,Sunday
908,2023-01-01 15:07:00,Bilbao - Madrid,47,681.0,64,Tren,Madrid,Sunday
915,2023-01-01 15:14:00,Barcelona - Bilbao,54,598.0,46,Tren,Barcelona,Sunday
921,2023-01-01 15:20:00,Madrid - Barcelona,91,267.0,103,Tren,Barcelona,Sunday
937,2023-01-01 15:36:00,Zaragoza - Barcelona,81,538.0,93,Autobús,Zaragoza,Sunday
949,2023-01-01 15:48:00,Barcelona - Valencia,65,243.0,87,Autobús,Barcelona,Sunday
950,2023-01-01 15:49:00,Sevilla - Madrid,21,357.0,102,Autobús,Madrid,Sunday
982,2023-01-01 16:21:00,Madrid - Zaragoza,21,354.0,44,Autobús,Zaragoza,Sunday
984,2023-01-01 16:23:00,Bilbao - Madrid,93,280.0,69,Tren,Bilbao,Sunday
988,2023-01-01 16:27:00,Zaragoza - Barcelona,14,462.0,116,Autobús,Barcelona,Sunday
992,2023-01-01 16:31:00,Madrid - Zaragoza,10,347.0,46,Autobús,Madrid,Sunday
996,2023-01-01 16:35:00,Barcelona - Valencia,45,260.0,78,Tren,Valencia,Sunday
998,2023-01-01 16:37:00,Madrid - Malaga,72,66.0,19,Tren,Madrid,Sunday
999,2023-01-01 16:38:00,Madrid - Zaragoza,97,80.0,24,Tren,Madrid,Sunday
1000,2023-01-01 16:39:00,Zaragoza - Barcelona,72,105.0,75,Autobús,Barcelona,Sunday
1010,2023-01-01 16:49:00,Sevilla - Madrid,93,448.0,97,Tren,Madrid,Sunday
1023,2023-01-01 17:02:00,Madrid - Zaragoza,27,46.0,44,Tren,Zaragoza,Sunday
1028,2023-01-01 17:07:00,Madrid - Barcelona,79,697.0,72,Autobús,Madrid,Sunday
1045,2023-01-01 17:24:00,Zaragoza - Barcelona,49,528.0,9,Tren,Zaragoza,Sunday
1046,2023-01-01 17:25:00,Zaragoza - Barcelona,73,234.0,69,Autobús,Zaragoza,Sunday
1048,2023-01-01 17:27:00,Valencia - Sevilla,96,69.0,111,Tren,Valencia,Sunday
1063,2023-01-01 17:42:00,Barcelona - Bilbao,55,33.0,109,Autobús,Bilbao,Sunday
1070,2023-01-01 17:49:00,Malaga - Sevilla,25,392.0,57,Autobús,Sevilla,Sunday
1071,2023-01-01 17:50:00,Madrid - Barcelona,98,321.0,101,Tren,Madrid,Sunday
1085,2023-01-01 18:04:00,Barcelona - Bilbao,20,441.0,77,Autobús,Barcelona,Sunday
1096,2023-01-01 18:15:00,Malaga - Sevilla,14,423.0,94,Autobús,Sevilla,Sunday
1106,2023-01-01 18:25:00,Malaga - Sevilla,63,519.0,110,Autobús,Sevilla,Sunday
1118,2023-01-01 18:37:00,Barcelona - Valencia,39,158.0,92,Autobús,Valencia,Sunday
1137,2023-01-01 18:56:00,Barcelona - Valencia,28,569.0,80,Autobús,Valencia,Sunday
1138,2023-01-01 18:57:00,Madrid - Malaga,28,662.0,56,Tren,Madrid,Sunday
1143,2023-01-01 19:02:00,Madrid - Zaragoza,67,338.0,36,Autobús,Madrid,Sunday
1150,2023-01-01 19:09:00,Madrid - Malaga,85,446.0,41,Tren,Malaga,Sunday
1157,2023-01-01 19:16:00,Zaragoza - Barcelona,10,227.0,74,Tren,Zaragoza,Sunday
1173,2023-01-01 19:32:00,Madrid - Zaragoza,53,508.0,101,Tren,Zaragoza,Sunday
1181,2023-01-01 19:40:00,Valencia - Sevilla,30,390.0,9,Tren,Valencia,Sunday
1192,2023-01-01 19:51:00,Malaga - Sevilla,87,689.0,65,Tren,Malaga,Sunday
1194,2023-01-01 19:53:00,Madrid - Malaga,58,334.0,67,Tren,Madrid,Sunday
1195,2023-01-01 19:54:00,Sevilla - Madrid,43,332.0,108,Tren,Madrid,Sunday
1211,2023-01-01 20:10:00,Malaga - Sevilla,63,719.0,19,Tren,Malaga,Sunday
1212,2023-01-01 20:11:00,Valencia - Sevilla,17,178.0,47,Tren,Valencia,Sunday
1216,2023-01-01 20:15:00,Madrid - Barcelona,20,612.0,42,Autobús,Madrid,Sunday
1228,2023-01-01 20:27:00,Barcelona - Valencia,51,84.0,62,Tren,Valencia,Sunday
1234,2023-01-01 20:33:00,Barcelona - Bilbao,86,197.0,63,Autobús,Bilbao,Sunday
1239,2023-01-01 20:38:00,Bilbao - Madrid,66,428.0,119,Autobús,Bilbao,Sunday
1246,2023-01-01 20:45:00,Barcelona - Valencia,35,421.0,42,Autobús,Valencia,Sunday
1266,2023-01-01 21:05:00,Bilbao - Madrid,41,484.0,6,Autobús,Madrid,Sunday
1270,2023-01-01 21:09:00,Barcelona - Bilbao,70,397.0,88,Autobús,Barcelona,Sunday
1277,2023-01-01 21:16:00,Barcelona - Valencia,78,144.0,87,Tren,Valencia,Sunday
1280,2023-01-01 21:19:00,Bilbao - Madrid,26,231.0,20,Tren,Bilbao,Sunday
1284,2023-01-01 21:23:00,Barcelona - Bilbao,63,134.0,81,Autobús,Barcelona,Sunday
1285,2023-01-01 21:24:00,Madrid - Zaragoza,17,520.0,63,Autobús,Zaragoza,Sunday
1295,2023-01-01 21:34:00,Sevilla - Madrid,10,82.0,50,Autobús,Madrid,Sunday
1300,2023-01-01 21:39:00,Madrid - Malaga,17,675.0,48,Tren,Madrid,Sunday
1302,2023-01-01 21:41:00,Malaga - Sevilla,59,576.0,67,Tren,Malaga,Sunday
1308,2023-01-01 21:47:00,Madrid - Zaragoza,33,578.0,13,Autobús,Madrid,Sunday
1313,2023-01-01 21:52:00,Madrid - Malaga,80,264.0,29,Tren,Madrid,Sunday
1319,2023-01-01 21:58:00,Bilbao - Madrid,85,323.0,67,Autobús,Madrid,Sunday
1320,2023-01-01 21:59:00,Madrid - Malaga,91,515.0,48,Tren,Malaga,Sunday
1331,2023-01-01 22:10:00,Valencia - Sevilla,38,669.0,95,Autobús,Valencia,Sunday
1333,2023-01-01 22:12:00,Barcelona - Bilbao,47,285.0,24,Autobús,Barcelona,Sunday
1336,2023-01-01 22:15:00,Madrid - Malaga,70,668.0,110,Tren,Malaga,Sunday
1341,2023-01-01 22:20:00,Zaragoza - Barcelona,27,202.0,77,Autobús,Barcelona,Sunday
1343,2023-01-01 22:22:00,Madrid - Malaga,81,719.0,104,Tren,Malaga,Sunday
1355,2023-01-01 22:34:00,Madrid - Barcelona,58,599.0,83,Autobús,Madrid,Sunday
1357,2023-01-01 22:36:00,Bilbao - Madrid,85,172.0,119,Autobús,Bilbao,Sunday
1366,2023-01-01 22:45:00,Barcelona - Bilbao,68,199.0,29,Tren,Barcelona,Sunday
1367,2023-01-01 22:46:00,Madrid - Malaga,34,180.0,66,Autobús,Malaga,Sunday
1369,2023-01-01 22:48:00,Malaga - Sevilla,74,26.0,14,Autobús,Malaga,Sunday
1372,2023-01-01 22:51:00,Barcelona - Valencia,66,291.0,13,Tren,Barcelona,Sunday
1373,2023-01-01 22:52:00,Valencia - Sevilla,33,543.0,28,Tren,Sevilla,Sunday
1384,2023-01-01 23:03:00,Zaragoza - Barcelona,48,178.0,104,Tren,Zaragoza,Sunday
1386,2023-01-01 23:05:00,Barcelona - Bilbao,37,92.0,101,Autobús,Barcelona,Sunday
1388,2023-01-01 23:07:00,Malaga - Sevilla,99,635.0,3,Tren,Malaga,Sunday
1390,2023-01-01 23:09:00,Zaragoza - Barcelona,36,718.0,22,Autobús,Barcelona,Sunday
1402,2023-01-01 23:21:00,Bilbao - Madrid,78,708.0,46,Tren,Madrid,Sunday
1404,2023-01-01 23:23:00,Madrid - Barcelona,71,574.0,111,Autobús,Madrid,Sunday
1415,2023-01-01 23:34:00,Sevilla - Madrid,16,79.0,47,Tren,Sevilla,Sunday
1420,2023-01-01 23:39:00,Barcelona - Valencia,32,398.0,5,Tren,Barcelona,Sunday
1424,2023-01-01 23:43:00,Zaragoza - Barcelona,53,348.0,79,Autobús,Zaragoza,Sunday
1433,2023-01-01 23:52:00,Malaga - Sevilla,76,36.0,20,Autobús,Malaga,Sunday
1435,2023-01-01 23:54:00,Madrid - Barcelona,56,97.0,69,Autobús,Barcelona,Sunday
1459,2023-01-02 00:18:00,Barcelona - Valencia,44,423.0,55,Autobús,Valencia,Monday
1460,2023-01-02 00:19:00,Bilbao - Madrid,45,593.0,34,Autobús,Bilbao,Monday
1473,2023-01-02 00:32:00,Barcelona - Bilbao,94,222.0,116,Autobús,Barcelona,Monday
1480,2023-01-02 00:39:00,Malaga - Sevilla,32,590.0,112,Autobús,Sevilla,Monday
1507,2023-01-02 01:06:00,Madrid - Malaga,63,622.0,48,Tren,Madrid,Monday
1509,2023-01-02 01:08:00,Zaragoza - Barcelona,82,604.0,75,Tren,Zaragoza,Monday
1511,2023-01-02 01:10:00,Madrid - Malaga,95,324.0,56,Tren,Malaga,Monday
1513,2023-01-02 01:12:00,Bilbao - Madrid,98,695.0,118,Autobús,Madrid,Monday
1517,2023-01-02 01:16:00,Malaga - Sevilla,89,50.0,117,Autobús,Malaga,Monday
1525,2023-01-02 01:24:00,Barcelona - Valencia,62,614.0,59,Autobús,Valencia,Monday
1533,2023-01-02 01:32:00,Valencia - Sevilla,78,147.0,51,Autobús,Valencia,Monday
1544,2023-01-02 01:43:00,Sevilla - Madrid,18,332.0,11,Tren,Madrid,Monday
1550,2023-01-02 01:49:00,Barcelona - Bilbao,84,37.0,6,Autobús,Bilbao,Monday
1568,2023-01-02 02:07:00,Barcelona - Bilbao,71,96.0,67,Autobús,Bilbao,Monday
1570,2023-01-02 02:09:00,Valencia - Sevilla,49,434.0,32,Tren,Sevilla,Monday
1574,2023-01-02 02:13:00,Barcelona - Bilbao,59,263.0,78,Tren,Barcelona,Monday
1575,2023-01-02 02:14:00,Bilbao - Madrid,63,570.0,10,Autobús,Madrid,Monday
1586,2023-01-02 02:25:00,Zaragoza - Barcelona,56,710.0,51,Tren,Zaragoza,Monday
1605,2023-01-02 02:44:00,Zaragoza - Barcelona,85,694.0,92,Autobús,Zaragoza,Monday
1614,2023-01-02 02:53:00,Madrid - Malaga,27,291.0,17,Tren,Malaga,Monday
1624,2023-01-02 03:03:00,Madrid - Barcelona,31,432.0,55,Tren,Barcelona,Monday
1627,2023-01-02 03:06:00,Zaragoza - Barcelona,23,354.0,16,Tren,Barcelona,Monday
1630,2023-01-02 03:09:00,Madrid - Barcelona,48,445.0,45,Tren,Barcelona,Monday
1643,2023-01-02 03:22:00,Bilbao - Madrid,92,85.0,19,Autobús,Bilbao,Monday
1648,2023-01-02 03:27:00,Madrid - Zaragoza,80,372.0,58,Tren,Madrid,Monday
1655,2023-01-02 03:34:00,Madrid - Malaga,86,219.0,45,Tren,Malaga,Monday
1656,2023-01-02 03:35:00,Bilbao - Madrid,66,404.0,60,Tren,Bilbao,Monday
1661,2023-01-02 03:40:00,Madrid - Barcelona,53,547.0,93,Autobús,Barcelona,Monday
1663,2023-01-02 03:42:00,Barcelona - Bilbao,86,470.0,113,Tren,Bilbao,Monday
1668,2023-01-02 03:47:00,Barcelona - Valencia,66,610.0,32,Tren,Valencia,Monday
1679,2023-01-02 03:58:00,Sevilla - Madrid,17,205.0,22,Autobús,Madrid,Monday
1699,2023-01-02 04:18:00,Bilbao - Madrid,31,284.0,43,Tren,Bilbao,Monday
1703,2023-01-02 04:22:00,Madrid - Zaragoza,21,545.0,16,Autobús,Zaragoza,Monday
1709,2023-01-02 04:28:00,Malaga - Sevilla,69,485.0,9,Tren,Malaga,Monday
1710,2023-01-02 04:29:00,Madrid - Barcelona,30,97.0,107,Autobús,Barcelona,Monday
1737,2023-01-02 04:56:00,Barcelona - Valencia,52,372.0,38,Tren,Valencia,Monday
1743,2023-01-02 05:02:00,Sevilla - Madrid,17,346.0,15,Autobús,Madrid,Monday
1748,2023-01-02 05:07:00,Madrid - Malaga,40,361.0,119,Tren,Madrid,Monday
1758,2023-01-02 05:17:00,Madrid - Zaragoza,67,62.0,20,Autobús,Zaragoza,Monday
